trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
214,False,"{'a': 0.5, 'e': 0.2678149813147835}",20,0,-10.236223201995772,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
215,False,"{'a': 0.5, 'e': 0.2671149813147835}",20,4,-30.746513704184398,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
216,False,"{'a': 0.5, 'e': 0.2664149813147835}",20,0,-67.91112041442837,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
217,False,"{'a': 0.5, 'e': 0.26571498131478355}",25,0,25.979465534855393,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
218,False,"{'a': 0.5, 'e': 0.26501498131478357}",30,0,11.74157211596656,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
219,False,"{'a': 0.5, 'e': 0.2643149813147836}",20,11,16.742111089206205,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.2636149813147836}",25,17,16.35587543877044,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.26291498131478364}",20,16,9.508593926951209,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.26221498131478366}",25,11,26.82926024739954,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.2615149813147837}",20,11,4.835617770441685,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.2608149813147837}",20,10,-37.83833761511394,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
225,False,"{'a': 0.5, 'e': 0.2601149813147837}",20,9,19.521161225846154,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.25941498131478374}",30,16,-17.134238312078182,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
227,False,"{'a': 0.5, 'e': 0.25871498131478377}",25,10,11.803824463074573,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.2580149813147838}",20,0,24.131479158640325,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
229,False,"{'a': 0.5, 'e': 0.2573149813147838}",20,9,-34.26755474618921,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
230,False,"{'a': 0.5, 'e': 0.25661498131478383}",25,11,22.77560576672633,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.25591498131478385}",35,24,15.61442560514579,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.2552149813147839}",20,9,3.634709832339506,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.2545149813147839}",30,18,-61.38573224675444,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
234,False,"{'a': 0.5, 'e': 0.2538149813147839}",30,12,-85.7486229219052,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 2}",1
235,False,"{'a': 0.5, 'e': 0.25311498131478394}",25,7,-13.265191876885474,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.25241498131478396}",25,13,7.744246461561689,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.251714981314784}",20,3,-6.797604959743804,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.251014981314784}",20,9,20.313553217673302,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.250314981314784}",25,6,0.4004796173539411,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.24961498131478402}",30,19,19.664917157462636,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.248914981314784}",25,0,37.931374034293974,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
242,False,"{'a': 0.5, 'e': 0.248214981314784}",20,0,-21.723187299393352,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.247514981314784}",35,8,38.15587974126224,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.246814981314784}",25,17,15.996175423446296,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.246114981314784}",25,10,21.721477035876106,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.24541498131478398}",25,7,-17.39712111143399,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.24471498131478397}",25,9,28.490509146634516,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
